Unnamed: 0,ingredient,name_unit,unit_kg,simple_ingredient
0,bœuf (carpaccio),g,0.001,boeuf
1,emmental,g,0.001,emmental
2,sauce teriyaki,càs,0.015,sauce teriyaki
3,riz,g,0.001,riz
5,gnocchi,g,0.001,gnocchi
6,epinard (frais),g,0.001,epinard
7,gorgonzola,g,0.001,gorgonzola
8,crème liquide,cl,0.01,crème liquide
9,lentilles corail,g,0.001,lentilles corail
10,tomate (chair),g,0.001,tomate
11,lait de coco,cl,0.01,lait de coco
12,ail,gou.,0.0833333333333333,ail
13,lasagnes (cru),g,0.001,lasagnes
14,courgette,g,0.001,courgette
15,tomate (purée),g,0.001,tomate
16,champignons de paris (frais),g,0.001,champignons de paris
17,mozzarella (boule),unitaire,0.1875,mozzarella
18,pâtes (spaghetti),g,0.001,pâtes
19,pancetta,tran.,0.025,pancetta
20,œuf,unitaire,0.06,oeuf
21,parmesan (morceaux),g,0.001,parmesan
22,pâte brisée,unitaire,0.225,pâte brisée
23,courgette,unitaire,0.12,courgette
24,carotte (frais),unitaire,0.1052631578947368,carotte
27,moutarde à l'ancienne,càs,0.015,moutarde à l'ancienne
28,pâte à pizza,unitaire,0.225,pâte à pizza
29,fromage blanc,càs,0.015,fromage blanc
30,crème fraîche épaisse,càs,0.015,crème fraîche épaisse
31,lardons,g,0.001,lardons
32,oignon jaune,unitaire,0.1,oignon jaune
33,bœuf (haché),g,0.001,boeuf
35,origan (séché),pinc.,0.0005,origan
36,haricots rouges (cuits),g,0.001,haricots rouges
37,,càc,0.005,nan
40,,g,0.001,nan
41,pâtes (coquillettes),g,0.001,pâtes
42,jambon blanc,tran.,0.02,jambon blanc
43,pomme de terre,g,0.001,pomme de terre
44,knack (porc),unitaire,0.04,knack
45,lait,cl,0.01,lait
46,beurre,g,0.001,beurre
47,reblochon,g,0.001,reblochon
51,vin blanc,cl,0.01,vin blanc
53,raclette,g,0.001,raclette
56,jambon cru,tran.,0.025,jambon cru
57,cornichon,g,0.001,cornichon
58,rosette,tran.,0.025,rosette
59,cabillaud (frais),unitaire,0.175,cabillaud
61,farine de blé,g,0.001,farine de blé
62,bière,cl,0.01,bière
63,bicarbonate de soude,càc,0.005,bicarbonate de soude
64,huile de tournesol,cl,0.01,huile de tournesol
65,citron jaune,unitaire,0.1166666666666666,citron jaune
66,sauce tartare,càs,0.015,sauce tartare
67,galette bretonne,unitaire,0.0875,galette bretonne
69,fromage râpé,pinc.,0.0005,fromage râpé
72,échalote,unitaire,0.0222222222222222,échalote
73,canard (confit),unitaire,0.175,canard
74,noisette,g,0.001,noisette
78,beurre,noisette,0.004,beurre
79,poulet (escalope),unitaire,0.125,poulet
80,miel (liquide),càs,0.015,miel
82,haricot vert (frais),g,0.001,haricot vert
85,ciboulette,bou.,0.04,ciboulette
87,farine de blé,càs,0.015,farine de blé
88,chapelure,càs,0.015,chapelure
90,salade (mélange),g,0.001,salade
92,chorizo (tranches),g,0.001,chorizo
93,parmesan (râpé),g,0.001,parmesan
97,saumon (frais),unitaire,0.125,saumon
100,crevette (cuite),g,0.001,crevette
102,piment d'espelette,pinc.,0.0005,piment d'espelette
103,persil (frais),bou.,0.04,persil
104,pâtes (tagliatelles),g,0.001,pâtes
108,parmesan (râpé),càs,0.015,parmesan
109,tomate cerise,g,0.001,tomate cerise
110,thym (feuilles),pinc.,0.0005,thym
118,graines de sésame,càc,0.005,graines de sésame
124,basilic (frais),bou.,0.04,basilic
125,tomate,g,0.001,tomate
126,mozzarella di bufala,unitaire,0.1875,mozzarella di bufala
127,nectarine,unitaire,0.1587301587301587,nectarine
129,coriandre (frais),bou.,0.04,coriandre
130,petits pois (surgelés),g,0.001,petits pois
131,feta,g,0.001,feta
134,tomate,unitaire,0.0862068965517241,tomate
135,ricotta,càs,0.015,ricotta
136,feta,unitaire,0.125,feta
139,artichauts marinés,g,0.001,artichauts marinés
141,burrata,g,0.001,burrata
144,menthe (feuilles),bou.,0.04,menthe
147,lait de coco,càs,0.015,lait de coco
151,pignons de pin,càs,0.015,pignons de pin
155,fraise,unitaire,0.0162954915806626,fraise
157,burrata,unitaire,0.125,burrata
161,figue,unitaire,0.0625,figue
